Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,50th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,0: All Days (M-Su),1: Early AM (12am-6am),21,14,15,20.543,0.676,1.24,0.03,9.000,11.000,15.000,18.000,19.000,21.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,0: All Days (M-Su),2: Peak AM (6am-10am),69,14,15,20.543,0.701,4.07,0.08,6.000,11.000,15.000,17.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),378,14,15,20.543,0.684,22.26,0.50,7.000,10.000,14.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),820,15,14,20.543,0.728,48.30,0.88,10.000,12.000,15.000,17.000,18.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,0: All Days (M-Su),5: Late PM (7pm-12am),216,15,15,20.543,0.707,12.73,0.26,8.000,11.000,15.000,17.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,1: Monday (M-M),0: All Day (12am-12am),1387,15,14,20.543,0.728,81.72,1.49,9.000,12.000,15.000,17.000,18.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,1: Monday (M-M),1: Early AM (12am-6am),18,12,17,20.543,0.595,1.08,0.04,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,1: Monday (M-M),2: Peak AM (6am-10am),102,14,15,20.543,0.694,6.01,0.13,7.000,11.000,15.000,17.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,1: Monday (M-M),3: Mid-Day (10am-3pm),306,14,15,20.543,0.688,18.04,0.40,6.000,11.000,14.000,16.000,17.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,1: Monday (M-M),4: Peak PM (3pm-7pm),811,15,14,20.543,0.753,47.80,0.76,11.000,13.000,16.000,17.000,18.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,1: Monday (M-M),5: Late PM (7pm-12am),149,15,14,20.543,0.714,8.79,0.17,7.000,11.000,16.000,18.000,19.000,21.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),1754,15,14,20.543,0.751,103.31,1.67,10.000,13.000,16.000,17.000,18.000,20.000
