Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,50th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),374,16,13,21.089,0.748,22.02,0.35,9.000,12.000,15.000,18.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),438,16,13,21.089,0.748,25.82,0.41,10.000,12.000,16.000,18.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,0: All Days (M-Su),5: Late PM (7pm-12am),202,16,13,21.089,0.758,11.87,0.18,10.000,12.000,16.000,18.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,1: Monday (M-M),0: All Day (12am-12am),1048,16,13,21.089,0.761,61.76,0.92,10.000,12.000,16.000,18.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,1: Monday (M-M),1: Early AM (12am-6am),26,18,12,21.089,0.834,1.55,0.01,15.000,16.000,17.000,19.000,20.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,1: Monday (M-M),2: Peak AM (6am-10am),160,16,13,21.089,0.756,9.41,0.14,10.000,12.000,16.000,18.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,1: Monday (M-M),3: Mid-Day (10am-3pm),313,16,13,21.089,0.778,18.44,0.25,11.000,13.000,16.000,19.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,1: Monday (M-M),4: Peak PM (3pm-7pm),380,16,14,21.089,0.740,22.40,0.37,10.000,12.000,15.000,18.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,1: Monday (M-M),5: Late PM (7pm-12am),169,16,13,21.089,0.772,9.96,0.14,7.000,12.000,15.000,19.000,20.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),1083,16,13,21.089,0.776,63.80,0.87,10.000,13.000,16.000,19.000,20.000,23.000
