Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume)
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,4: Thursday (Th-Th),0: All Day (12am-12am),5703,29,38,31.692,0.906,1719.49,5.62
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,4: Thursday (Th-Th),1: Early AM (12am-6am),314,31,35,31.692,0.966,94.79,0.11
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,4: Thursday (Th-Th),2: Peak AM (6am-10am),1317,30,37,31.692,0.932,396.99,0.91
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),1417,28,38,31.692,0.898,427.18,1.54
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),1755,28,39,31.692,0.888,528.99,2.10
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,4: Thursday (Th-Th),5: Late PM (7pm-12am),901,28,38,31.692,0.896,271.52,1.00
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,5: Friday (F-F),0: All Day (12am-12am),6400,29,38,31.692,0.904,1929.40,6.49
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,5: Friday (F-F),1: Early AM (12am-6am),314,29,37,31.692,0.925,94.57,0.24
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,5: Friday (F-F),2: Peak AM (6am-10am),1226,30,37,31.692,0.933,369.63,0.83
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,5: Friday (F-F),3: Mid-Day (10am-3pm),1575,29,38,31.692,0.902,474.91,1.64
