Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),269,15,27.020,0.559
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),249,15,27.020,0.553
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),133,15,27.020,0.555
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,7: Sunday (Su-Su),0: All Day (12am-12am),600,15,27.020,0.553
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,7: Sunday (Su-Su),1: Early AM (12am-6am),41,16,27.020,0.583
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,7: Sunday (Su-Su),2: Peak AM (6am-10am),68,15,27.020,0.563
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),219,15,27.020,0.553
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),173,15,27.020,0.540
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,7: Sunday (Su-Su),5: Late PM (7pm-12am),99,15,27.020,0.555
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,0: All Days (M-Su),0: All Day (12am-12am),654,16,30.441,0.523
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,0: All Days (M-Su),1: Early AM (12am-6am),37,17,30.441,0.556
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,0: All Days (M-Su),2: Peak AM (6am-10am),118,16,30.441,0.541
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),158,16,30.441,0.516
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),241,16,30.441,0.511
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,0: All Days (M-Su),5: Late PM (7pm-12am),101,16,30.441,0.531
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,1: Monday (M-M),0: All Day (12am-12am),620,16,30.441,0.519
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,1: Monday (M-M),1: Early AM (12am-6am),33,16,30.441,0.525
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,1: Monday (M-M),2: Peak AM (6am-10am),132,17,30.441,0.542
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,1: Monday (M-M),3: Mid-Day (10am-3pm),144,15,30.441,0.504
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,1: Monday (M-M),4: Peak PM (3pm-7pm),226,15,30.441,0.502
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,1: Monday (M-M),5: Late PM (7pm-12am),86,17,30.441,0.549
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,2: Tuesday (Tu-Tu),0: All Day (12am-12am),710,16,30.441,0.528
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),35,16,30.441,0.534
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),148,17,30.441,0.567
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),163,16,30.441,0.520
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),272,15,30.441,0.508
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),93,16,30.441,0.535
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,3: Wednesday (W-W),0: All Day (12am-12am),753,16,30.441,0.525
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,3: Wednesday (W-W),1: Early AM (12am-6am),30,17,30.441,0.548
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,3: Wednesday (W-W),2: Peak AM (6am-10am),153,17,30.441,0.547
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,3: Wednesday (W-W),3: Mid-Day (10am-3pm),158,16,30.441,0.516
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,3: Wednesday (W-W),4: Peak PM (3pm-7pm),310,16,30.441,0.517
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,3: Wednesday (W-W),5: Late PM (7pm-12am),101,16,30.441,0.525
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,4: Thursday (Th-Th),0: All Day (12am-12am),750,16,30.441,0.529
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,4: Thursday (Th-Th),1: Early AM (12am-6am),32,19,30.441,0.611
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,West 29th Street,yes,270,yes,4: Thursday (Th-Th),2: Peak AM (6am-10am),151,17,30.441,0.547
