Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,3: Wednesday (W-W),0: All Day (12am-12am),765,21,4,27.340,0.786,16.76,0.17,8.000,13.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,3: Wednesday (W-W),1: Early AM (12am-6am),16,22,4,27.340,0.811,0.36,0.00,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,3: Wednesday (W-W),2: Peak AM (6am-10am),109,22,4,27.340,0.815,2.39,0.02,11.000,14.000,29.000,34.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,3: Wednesday (W-W),3: Mid-Day (10am-3pm),313,21,4,27.340,0.776,6.86,0.07,7.000,14.000,28.000,31.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,3: Wednesday (W-W),4: Peak PM (3pm-7pm),211,21,4,27.340,0.783,4.62,0.05,8.000,13.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,3: Wednesday (W-W),5: Late PM (7pm-12am),115,21,4,27.340,0.785,2.52,0.03,10.000,13.000,26.000,29.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,4: Thursday (Th-Th),0: All Day (12am-12am),675,21,4,27.340,0.776,14.79,0.16,9.000,13.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,4: Thursday (Th-Th),1: Early AM (12am-6am),22,21,4,27.340,0.777,0.49,0.01,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,4: Thursday (Th-Th),2: Peak AM (6am-10am),85,21,4,27.340,0.783,1.87,0.02,9.000,14.000,28.000,31.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),222,22,4,27.340,0.789,4.86,0.05,7.000,13.000,28.000,32.000
